popularity;acousticness;danceability;duration_ms;energy;instrumentalness;key;liveness;loudness;mode;speechiness;valence;music_genre
30;0.00479;0.566;106160;0.368;0.946;7;0.147;-11.116;1;0.0302;0.203;Electronic
29;0.00121;0.603;192000;0.995;0.0298;4;0.874;-0.084;0;0.108;0.188999999999999;Electronic
42;0.00403;0.654;182400;0.882;0;1;0.557999999999999;-4.718;1;0.0918;0.680999999999999;Electronic
36;0.188;0.665;189619;0.807;0.00075;4;0.0954;-6.314;1;0.0375;0.647;Electronic
52;0.619;0.69;289573;0.655999999999999;0.364;9;0.115;-10.46;1;0.0753;0.611;Electronic
39;0.0152;0.822;489762;0.581;0.617;0;0.0578;-9.982;0;0.0428;0.765;Electronic
46;0.000352;0.719;198000;0.667999999999999;0.498;9;0.0851;-6.35;1;0.0479;0.166;Electronic
42;0.0127;0.71;412251;0.573;0.787999999999999;5;0.0871;-10.889;1;0.0498;0.278999999999999;Electronic
26;0.00557;0.760999999999999;202200;0.616;0.0073799999999999;3;0.338999999999999;-7.00799999999999;0;0.0884;0.32;Electronic
46;0.15;0.574;187206;0.769;0.00139;8;0.126;-4.494;0;0.0352;0.424;Electronic
35;0.0242;0.842;282267;0.717;0.000596;10;0.145;-7.277;1;0.0791;0.522;Electronic
32;0.0763;0.772;-1;0.829;0;0;0.05;-2.12;1;0.0389;0.782999999999999;Electronic
55;0.00278;0.773;390223;0.532;0.86;5;0.0449;-11.297;1;0.0674;0.389;Electronic
37;0.0237;0.617;211200;0.72;0.47;10;0.084;-7.331;0;0.0347;0.0725;Electronic
51;0.078;0.698;194696;0.908;0;4;0.322999999999999;-2.897;0;0.0531;0.602;Electronic
31;0.0572;0.564;267200;0.406;0.45;0;0.509;-8.075;0;0.0657;0.186;Electronic
34;0.0189;0.657999999999999;412220;0.602;0.760999999999999;6;0.0841;-12.4259999999999;0;0.0361;0.132;Electronic
51;0.578;0.752;364520;0.498;0.195;9;0.151;-10.805;1;0.0303;0.351;Electronic
49;0.0004759999999999;0.750999999999999;503400;0.598;0.831;5;0.0616;-7.636;1;0.0412;0.176;Electronic
36;0.0016699999999999;0.467;180400;0.748;0.893;4;0.107;-6.191;1;0.0587;0.483;Electronic
28;0.0184;0.54;148800;0.901;0.407;9;0.546;-3.897;1;0.0494;0.128;Electronic
34;0.0104;0.762;363093;0.698;0.847;8;0.0864;-5.821;0;0.0823;0.66;Electronic
35;0.0282;0.723;338241;0.63;0.745;6;0.126;-9.344;0;0.0377;0.039;Electronic
31;0.00694;0.637;175983;0.708;0.142;7;0.344;-7.792;0;0.0793;0.733;Electronic
39;0.153;0.645999999999999;316307;0.753;0.0127;9;0.0755;-4.683;1;0.0387;0.272;Electronic
29;0.00448;0.64;172800;0.999;0.11;8;0.822;0;0;0.151;0.173;Electronic
32;0.163;0.703;309293;0.715;0.694;6;0.118;-7.37;0;0.0558;0.435;Electronic
30;0.000273;0.51;235200;0.774;0.664;4;0.218999999999999;-3.664;1;0.0419;0.0338;Electronic
29;0.337;0.785;236203;0.650999999999999;0.921;7;0.221;-8.228;1;0.04;0.281;Electronic
44;0.0512;0.706;339460;0.625;0.687;4;0.0816;-9.941;1;0.0355;0.0635;Electronic
43;0.000866;0.664;197064;0.973;0.0000492;8;0.193;-1.251;0;0.0587;0.525;Electronic
24;0.00772;0.627;225750;0.802;0.00103;0;0.74;-3.933;1;0.0578;0.816;Electronic
35;0.0557;0.557999999999999;128400;0.732;0.0146;5;0.45;-6.497;1;0.0401;0.0467;Electronic
29;0.0115;0.733;286710;0.875999999999999;0.77;8;0.198999999999999;-3.724;0;0.0879;0.204;Electronic
38;0.0263;0.588;308280;0.731;0.179;9;0.125;-11.623;1;0.057;0.157;Electronic
36;0.192;0.752;210043;0.392;0.52;1;0.252;-12.309;0;0.0409;0.619;Electronic
32;0.0019;0.598;280800;0.966;0.0148;5;0.563;-2.087;0;0.148;0.385;Electronic
52;0.00361;0.680999999999999;181498;0.873;0.296;9;0.0744;-5.767;1;0.158;0.348;Electronic
69;0.44;0.875;232667;0.475;0.72;0;0.046;-12.673;0;0.0986;0.384;Electronic
42;0.0068;0.241;-1;0.698;0.00955;3;0.535;-5.51;0;0.0557;0.322999999999999;Electronic
34;0.795;0.628;196973;0.506;0.901;0;0.111;-12.101;0;0.0427;0.465;Electronic
32;0.00115;0.775;154352;0.742;0.00000405;7;0.0698;-3.727;0;0.0444;0.735;Electronic
30;0.0684;0.8;175812;0.623;0.135;8;0.0677;-4.678;1;0.123;0.6;Electronic
58;0.0685;0.499;225675;0.790999999999999;0.0000189;11;0.138;-3.735;1;0.0539;0.25;Electronic
29;0.416;0.572;328120;0.552;0.000444;5;0.132;-7.773;1;0.0271;0.207;Electronic
24;0.000234;0.453999999999999;424667;0.716;0.93;9;0.068;-9.884;1;0.0318;0.156;Electronic
33;0.171;0.263;-1;0.342999999999999;0.627;3;0.0996;-13.932;1;0.0354;0.0619;Electronic
38;0.00217;0.59;244000;0.748;0.0923;5;0.139;-6.817;0;0.0566;0.576;Electronic
36;0.23;0.432;488145;0.81;0.437999999999999;9;0.717;-7.737;0;0.0308;0.281;Electronic
22;0.0123;0.633;175200;0.694;0.000546;9;0.176;-6.465;0;0.201;0.734;Electronic
41;0.567;0.745;276573;0.509;0.524;1;0.660999999999999;-10;0;0.0395;0.486;Electronic
32;0.0054;0.565;176360;0.897;0.908;7;0.163999999999999;-5.479;0;0.0376;0.462999999999999;Electronic
38;0.221;0.551;372707;0.772;0.0152;5;0.124;-8.27799999999999;0;0.0865;0.222;Electronic
27;0.237;0.587;245907;0.935;0.00214;6;0.135;-4.819;0;0.381;0.640999999999999;Electronic
29;0.853;0.273999999999999;289400;0.465;0.0262;0;0.162;-7.909;0;0.0295;0.0645;Electronic
40;0.00336;0.73;133538;0.753;0.211;9;0.05;-4.862;0;0.05;0.316;Electronic
52;0.0891;0.71;183370;0.89;0.0026899999999999;4;0.100999999999999;-5.87;1;0.18;0.371;Electronic
30;0.638;0.57;-1;0.21;0.888;10;0.104;-15.555;0;0.0367;0.0388;Electronic
37;0.184;0.816;187320;0.364;0.809;10;0.105;-14.152;0;0.0289;0.362;Electronic
31;0.178;0.709;188680;0.677;0.00362;8;0.0974;-9.092;1;0.0661;0.544;Electronic
39;0.105;0.696;223867;0.954;0.84;5;0.111;-4.641;1;0.0368;0.55;Electronic
41;0.178;0.83;581807;0.309;0.918;9;0.365;-14.558;1;0.0686;0.263;Electronic
30;0.017;0.57;250400;0.75;0.00116;7;0.0681;-5.78799999999999;1;0.0444;0.221;Electronic
45;0.138;0.888;233507;0.69;0.0177;6;0.0918;-6.452;0;0.215;0.508;Electronic
42;0.0234;0.837;237520;0.472;0.00531;8;0.108;-11.45;0;0.0733;0.369;Electronic
38;0.254;0.305;392000;0.487;0.239;0;0.0894;-10.579;0;0.0292;0.0663;Electronic
50;0.122;0.711;288347;0.905;0.000166;8;0.395;-7.459;1;0.218;0.437;Electronic
37;0.00322;0.3;338933;0.804;0.917;10;0.247;-7.997;1;0.0405;0.268999999999999;Electronic
42;0.00000943;0.472;309867;0.947;0.0155;0;0.364;-6.12799999999999;1;0.0774;0.75;Electronic
30;0.183;0.737;91040;0.64;0.629;1;0.447;-12.339;0;0.0682;0.462;Electronic
39;0.44;0.636;367480;0.253;0.873;9;0.0866;-14.707;0;0.0385;0.0427;Electronic
